model,scenario,sample_count,correct_answers,accuracy,mrr,mttc,efficiency,technical_score
linear,overall,200,199,0.995,0.672881,2.04,0.896,0.878564
linear,boundary,10,10,1.0,0.743452,2.7,0.83,0.889036
linear,browsing,80,80,1.0,0.628095,1.6875,0.93125,0.874679
linear,buying,80,79,0.9875,0.717098,1.5,0.95,0.898879
linear,intent_override,30,30,1.0,0.650873,4.2,0.68,0.831262
fm,overall,200,197,0.985,0.645863,2.18,0.882,0.862659
fm,boundary,10,10,1.0,0.797619,2.9,0.81,0.901286
fm,browsing,80,80,1.0,0.645605,1.8,0.92,0.877682
fm,buying,80,77,0.9625,0.602822,1.7125,0.92875,0.847847
fm,intent_override,30,30,1.0,0.710741,4.2,0.68,0.849222
e7_100k_seed2028,overall,200,195,0.975,0.652365,2.39,0.861,0.85541
e7_100k_seed2028,boundary,10,10,1.0,0.675,2.9,0.81,0.8645
e7_100k_seed2028,browsing,80,79,0.9875,0.680967,2.025,0.8975,0.87754
e7_100k_seed2028,buying,80,76,0.95,0.629583,1.9875,0.90125,0.844125
e7_100k_seed2028,intent_override,30,30,1.0,0.629299,4.266667,0.673333,0.823456
